activity_id,student_id,course_id,video_watched_min,quiz_score,assignment_score,timestamp
A000001,S034231,C044256,151,63,90,2024-06-28
A000002,S024813,C019133,122,33,54,2024-06-21
A000003,S011621,C007886,159,9,100,2024-12-21
A000004,S002907,C013712,266,54,50,2024-11-02
A000005,S022270,C020155,264,70,74,2024-11-19
A000006,S010805,C025063,246,36,51,2024-08-23
A000007,S027448,C021355,155,67,46,2024-12-15
A000008,S004775,C037407,5,14,35,2024-04-30
A000009,S023437,C014484,290,53,92,2024-09-30
A000010,S025129,C006904,1,42,6,2024-12-27
A000011,S032296,C032649,108,89,3,2024-10-14
A000012,S002378,C018713,151,97,87,2024-12-06
A000013,S001988,C008077,62,38,96,2024-10-18
A000014,S020352,C035256,50,63,15,2024-11-03
A000015,S046170,C010841,90,48,31,2024-03-22
A000016,S011090,C043342,185,96,30,2024-12-29
A000017,S023283,C016408,230,11,82,2024-12-27
A000018,S021209,C020483,73,15,99,2024-09-26
A000019,S019088,C032380,142,6,100,2024-12-03
A000020,S016603,C026534,246,96,51,2024-09-16
A000021,S017737,C007065,155,47,44,2024-11-09
A000022,S009121,C033729,291,4,55,2024-06-27
A000023,S040722,C046032,75,57,9,2024-12-05
A000024,S013769,C001018,258,30,28,2024-06-29
A000025,S000565,C010658,293,86,36,2024-12-28
A000026,S034403,C046476,52,74,46,2023-11-11
A000027,S024332,C022352,77,15,47,2024-12-29
A000028,S048629,C039064,125,75,40,2024-09-28
A000029,S002284,C013651,190,49,79,2024-12-25
A000030,S036847,C010996,31,83,45,2024-08-11
A000031,S008484,C045743,131,9,10,2024-12-30
A000032,S040794,C033274,172,43,20,2024-03-15
A000033,S033886,C011641,65,26,69,2024-12-24
A000034,S029408,C042310,119,2,71,2024-08-24
A000035,S017374,C000072,174,96,58,2024-12-06
A000036,S016603,C026534,264,7,92,2024-10-26
A000037,S029159,C000705,141,91,3,2024-09-15
A000038,S011656,C004893,166,82,12,2024-05-25
A000039,S008214,C043578,169,56,59,2024-12-14
A000040,S047338,C046244,11,71,79,2024-09-05
A000041,S021727,C006221,269,99,40,2024-08-27
A000042,S000646,C041948,169,3,47,2024-07-30
A000043,S000871,C047292,223,24,98,2024-12-30
A000044,S029494,C001810,103,19,44,2023-11-20
A000045,S031113,C028634,296,28,8,2024-12-29
A000046,S024807,C000461,24,61,50,2024-11-15
A000047,S002688,C004569,276,47,58,2024-12-22
A000048,S017971,C028133,256,40,78,2024-10-08
A000049,S048174,C031090,208,82,88,2024-12-22
A000050,S003199,C034616,198,52,98,2024-12-27
A000051,S033127,C007679,96,77,76,2024-03-07
A000052,S005957,C037950,143,99,51,2024-12-30
A000053,S043547,C009516,278,53,67,2024-12-06
A000054,S045727,C001691,295,90,15,2024-12-27
A000055,S034307,C025966,291,28,76,2024-12-28
A000056,S024671,C038073,186,11,61,2024-12-17
A000057,S040179,C033641,278,54,90,2024-12-28
A000058,S043844,C005820,208,89,58,2024-11-13
A000059,S042741,C003964,113,37,20,2024-12-26
A000060,S036263,C032525,22,39,44,2024-07-10
A000061,S014917,C030614,108,22,17,2024-07-15
A000062,S046827,C018424,2,72,61,2024-09-07
A000063,S028455,C027367,138,89,16,2024-06-13
A000064,S021198,C014847,109,17,40,2024-09-13
A000065,S007989,C003141,48,58,37,2024-12-24
A000066,S013185,C042167,36,94,11,2024-10-28
A000067,S006689,C013842,287,12,51,2024-12-15
A000068,S009083,C029247,154,10,70,2024-11-15
A000069,S049813,C042543,107,52,46,2024-12-30
A000070,S017882,C002304,219,64,75,2024-12-17
A000071,S039925,C028030,210,82,32,2024-12-20
A000072,S009628,C017036,70,4,87,2024-12-30
A000073,S026915,C038154,119,8,23,2024-06-04
A000074,S024327,C041642,77,97,63,2024-08-02
A000075,S028340,C013030,288,12,81,2024-04-20
A000076,S003043,C017887,117,13,75,2024-11-14
A000077,S040487,C039444,144,8,66,2024-10-03
A000078,S032951,C018792,267,21,51,2023-11-05
A000079,S009065,C048853,39,11,33,2024-12-24
A000080,S029128,C031241,90,79,65,2024-08-28
A000081,S004461,C002658,147,100,85,2024-11-12
A000082,S024013,C032944,211,92,6,2024-01-29
A000083,S040531,C028064,123,11,71,2024-08-31
A000084,S036170,C008345,65,41,34,2024-12-30
A000085,S043098,C023859,83,99,86,2024-11-15
A000086,S034679,C031556,199,11,90,2024-04-20
A000087,S034691,C011892,257,61,98,2024-12-30
A000088,S043966,C022528,233,91,62,2024-12-25
A000089,S042658,C015999,202,99,60,2024-11-14
A000090,S032244,C013987,200,46,86,2024-12-30
A000091,S012084,C022552,289,60,28,2024-10-08
A000092,S033456,C018096,90,78,74,2024-10-08
A000093,S048401,C015932,257,19,18,2024-12-27
A000094,S001109,C047948,40,82,69,2024-12-29
A000095,S040755,C005084,296,65,64,2024-12-26
A000096,S006077,C033579,71,20,45,2023-03-03
A000097,S037701,C018984,55,56,65,2024-05-27
A000098,S019199,C006105,228,24,41,2024-06-08
A000099,S000097,C028811,239,100,78,2024-12-29
A000100,S012661,C039651,261,98,19,2024-12-21
A000101,S025987,C038199,97,76,59,2024-12-25
A000102,S018144,C038253,255,97,38,2024-12-03
A000103,S022220,C035769,191,73,50,2023-04-18
A000104,S049272,C038256,160,93,31,2024-12-30
A000105,S044106,C004330,12,11,12,2024-11-28
A000106,S013546,C018593,52,43,34,2024-10-18
A000107,S016467,C008239,79,52,53,2024-12-24
A000108,S003151,C011558,115,82,32,2024-12-09
A000109,S002654,C009012,111,16,93,2024-11-09
A000110,S007208,C039995,8,37,36,2024-12-06
A000111,S041944,C019493,179,30,88,2024-12-27
A000112,S041309,C030765,239,34,65,2024-11-25
A000113,S046229,C000308,135,99,80,2023-12-09
A000114,S035208,C027146,200,11,0,2024-12-29
A000115,S013725,C028544,72,54,71,2024-11-26
A000116,S009029,C028525,124,75,83,2024-08-07
A000117,S024944,C044885,225,80,78,2024-11-03
A000118,S048021,C042133,219,8,31,2024-12-28
A000119,S002158,C040627,148,62,13,2024-12-29
A000120,S028553,C028022,165,25,13,2024-09-08
A000121,S016690,C049666,178,20,77,2024-11-22
A000122,S047668,C015097,275,67,70,2024-12-29
A000123,S023377,C005509,283,68,31,2024-12-26
A000124,S006637,C020129,154,52,46,2024-08-29
A000125,S004208,C020321,112,23,3,2024-08-07
A000126,S009172,C015757,46,62,53,2024-06-19
A000127,S049738,C032538,225,44,17,2024-12-29
A000128,S036785,C021578,273,73,82,2024-11-04
A000129,S028266,C001294,159,11,32,2024-07-23
A000130,S026686,C027303,64,100,98,2024-10-17
A000131,S041249,C019952,232,15,84,2024-08-19
A000132,S002108,C012721,55,22,43,2024-12-27
A000133,S008872,C046618,122,31,15,2024-12-30
A000134,S049888,C004950,111,100,57,2024-11-22
A000135,S010667,C027659,184,84,9,2024-12-29
A000136,S003542,C023146,234,20,27,2023-08-05
A000137,S029230,C049656,188,25,88,2024-10-31
A000138,S018274,C036749,175,97,74,2024-01-24
A000139,S005270,C019750,46,71,76,2024-10-18
A000140,S008139,C035311,266,43,72,2024-12-30
A000141,S041998,C017512,250,50,43,2024-12-16
A000142,S015399,C003946,106,52,35,2024-02-10
A000143,S047526,C006917,176,75,73,2024-12-23
A000144,S044851,C031980,106,16,6,2024-11-19
A000145,S017741,C048484,152,28,37,2024-12-27
A000146,S027323,C007614,40,60,21,2024-12-12
A000147,S020472,C006470,69,68,93,2024-10-07
A000148,S020891,C042374,85,28,64,2024-12-01
A000149,S006304,C016810,89,93,47,2024-12-29
A000150,S042909,C004591,288,14,62,2023-10-12
A000151,S010610,C034815,28,12,81,2024-12-26
A000152,S018825,C042487,267,94,62,2024-06-10
A000153,S027404,C039482,78,76,28,2024-11-28
A000154,S035330,C033916,68,31,76,2024-11-27
A000155,S009040,C018611,229,100,33,2024-10-27
A000156,S011860,C015730,223,68,88,2024-12-28
A000157,S047268,C004136,67,34,2,2024-12-26
A000158,S020022,C019238,221,71,95,2024-07-24
A000159,S024970,C046668,272,47,13,2024-09-12
A000160,S020496,C022757,32,46,65,2024-10-25
A000161,S032375,C036649,28,27,25,2024-12-11
A000162,S005244,C007005,193,85,68,2024-11-07
A000163,S006059,C017457,273,79,14,2024-12-30
A000164,S035817,C009044,123,73,21,2024-08-21
A000165,S039148,C042900,181,4,72,2024-10-01
A000166,S034673,C043928,47,51,15,2024-12-01
A000167,S039895,C023006,168,29,0,2024-12-30
A000168,S001221,C048612,222,47,60,2024-11-12
A000169,S008856,C030737,119,89,13,2024-12-25
A000170,S018893,C039777,47,43,66,2024-12-06
A000171,S020093,C006832,188,73,95,2024-11-15
A000172,S009545,C018924,288,68,35,2023-11-08
A000173,S026084,C009260,96,78,93,2024-11-01
A000174,S023788,C029206,255,16,46,2024-06-27
A000175,S049233,C000164,76,8,91,2024-06-25
A000176,S004869,C029144,170,32,2,2023-08-17
A000177,S023226,C007980,214,60,59,2024-05-13
A000178,S034261,C043558,21,96,25,2024-01-20
A000179,S000615,C034560,70,70,94,2024-12-21
A000180,S037211,C015736,85,28,20,2024-10-16
A000181,S030578,C045541,206,88,25,2024-08-16
A000182,S035055,C013295,55,11,60,2024-07-12
A000183,S025642,C024462,224,25,93,2024-12-28
A000184,S046662,C044585,269,37,4,2024-12-14
A000185,S031207,C007640,285,1,8,2024-12-25
A000186,S022580,C030445,124,23,82,2024-08-12
A000187,S018380,C011756,204,9,34,2024-10-30
A000188,S030213,C012448,229,97,2,2024-11-29
A000189,S002850,C033949,220,36,7,2024-10-17
A000190,S015416,C011554,17,39,84,2024-12-08
A000191,S020836,C039450,164,89,58,2024-12-03
A000192,S027279,C011682,260,7,17,2024-12-04
A000193,S007818,C018976,105,67,57,2024-12-19
A000194,S032566,C023730,36,52,92,2024-08-28
A000195,S022562,C018309,175,35,66,2024-11-20
A000196,S014207,C011355,92,85,66,2023-11-07
A000197,S005915,C001526,282,72,47,2024-12-30
A000198,S046007,C024897,61,16,83,2024-06-21
A000199,S017687,C035604,187,84,54,2024-12-12
A000200,S038375,C036054,238,58,95,2024-08-13
A000201,S007046,C007122,175,76,32,2024-11-02
A000202,S048671,C004223,231,31,59,2024-12-29
A000203,S008062,C028996,294,91,96,2024-12-28
A000204,S000598,C034445,171,9,9,2024-11-21
A000205,S021661,C040012,280,86,79,2024-11-03
A000206,S004046,C024575,243,99,53,2024-12-04
A000207,S015749,C007888,5,42,50,2024-12-20
A000208,S022291,C047433,156,35,23,2024-11-08
A000209,S039021,C047645,204,90,67,2024-12-25
A000210,S010943,C007959,251,34,83,2024-12-28
A000211,S000922,C024373,40,54,91,2024-12-30
A000212,S023314,C007578,102,17,9,2024-09-25
A000213,S005761,C026165,284,35,67,2024-12-24
A000214,S047567,C011704,6,56,28,2024-11-28
A000215,S009741,C019057,97,78,60,2024-12-14
A000216,S003669,C019083,74,80,85,2024-10-27
A000217,S031204,C014347,189,42,29,2024-11-28
A000218,S007449,C034446,162,85,18,2024-12-28
A000219,S010509,C008669,177,20,54,2024-10-26
A000220,S033692,C038626,68,49,9,2024-11-23
A000221,S022622,C045944,203,23,15,2024-12-17
A000222,S035933,C041013,31,86,7,2024-12-14
A000223,S038791,C042099,158,12,66,2024-12-17
A000224,S020772,C024126,212,80,37,2024-09-24
A000225,S004686,C008218,48,19,36,2024-10-23
A000226,S000815,C027013,184,1,20,2024-12-08
A000227,S029538,C028254,81,99,26,2024-12-29
A000228,S032214,C038410,197,35,25,2024-10-25
A000229,S047009,C011806,246,16,84,2023-03-16
A000230,S043983,C008808,36,60,14,2024-12-12
A000231,S032046,C020847,233,29,6,2024-12-23
A000232,S027281,C026637,219,6,35,2024-07-10
A000233,S047698,C041018,292,52,40,2024-12-12
A000234,S037817,C034669,129,18,27,2024-05-23
A000235,S004394,C024086,5,49,92,2024-10-20
A000236,S043040,C047406,288,65,80,2023-07-28
A000237,S038169,C028024,150,96,35,2024-11-02
A000238,S044916,C000989,224,37,97,2024-12-26
A000239,S039244,C015891,225,9,25,2024-11-20
A000240,S027324,C047212,192,16,47,2024-12-19
A000241,S008928,C007354,45,11,82,2024-12-29
A000242,S032705,C011700,52,3,96,2024-08-04
A000243,S000296,C013076,271,6,91,2024-11-17
A000244,S042013,C022828,190,43,11,2024-10-18
A000245,S021507,C009635,215,29,40,2024-11-29
A000246,S049551,C037933,81,35,25,2024-12-25
A000247,S016471,C004431,92,17,66,2024-12-28
A000248,S049932,C011384,56,77,14,2024-12-27
A000249,S025088,C005370,163,26,13,2024-09-29
A000250,S043907,C000644,94,75,64,2024-12-16
A000251,S027334,C042879,70,96,2,2024-10-06
A000252,S038298,C003950,241,73,76,2024-12-29
A000253,S013168,C045885,225,35,45,2024-07-26
A000254,S006626,C004695,222,61,77,2024-12-02
A000255,S034967,C024735,0,17,78,2024-11-23
A000256,S040135,C011425,68,15,39,2024-12-24
A000257,S023015,C001950,235,48,99,2024-10-29
A000258,S013571,C042675,276,33,87,2024-11-19
A000259,S024089,C000366,276,76,37,2024-03-30
A000260,S039582,C004817,161,45,35,2024-12-28
A000261,S010281,C021940,214,20,12,2024-11-14
A000262,S007714,C003952,291,97,56,2024-12-12
