course_id,course_title,category,instructor_id,difficulty_level,duration_hours,price,published_date
c00001,Business Course 1,Business,i02229,Intermediate,43,83.14,9/13/2023
c00002,AI Course 2,AI,i02248,Intermediate,9,98.21,7/11/2020
c00003,Data Science Course 3,Data Science,i07587,Advanced,36,111.13,11/3/2023
c00004,Biology Course 4,Biology,i07065,Beginner,34,31.96,7/21/2023
c00005,AI Course 5,AI,i04247,Intermediate,10,65.14,3/28/2020
c00006,History Course 6,History,i08697,Intermediate,13,70.52,7/15/2023
c00007,Biology Course 7,Biology,i09738,Advanced,16,138.64,8/6/2020
c00008,AI Course 8,AI,i04725,Beginner,16,52.63,1/7/2023
c00009,Data Science Course 9,Data Science,i02742,Beginner,10,41.05,8/13/2019
c00010,History Course 10,History,i08992,Intermediate,47,112.17,5/26/2022
c00011,Programming Course 11,Programming,i09051,Beginner,5,36.68,9/15/2020
c00012,Physics Course 12,Physics,i01404,Advanced,19,175.9,1/19/2022
c00013,Data Science Course 13,Data Science,i04426,Intermediate,52,84.24,8/24/2021
c00014,Math Course 14,Math,i09475,Intermediate,16,60.46,10/29/2019
c00015,Data Science Course 15,Data Science,i00770,Beginner,27,60.47,4/19/2022
c00016,Biology Course 16,Biology,i03107,Advanced,37,190.02,12/27/2022
c00017,Math Course 17,Math,i00883,Beginner,33,59.95,5/8/2022
c00018,Design Course 18,Design,i05893,Intermediate,33,55.1,11/13/2021
c00019,History Course 19,History,i01351,Advanced,30,138.6,8/31/2023
c00020,Design Course 20,Design,i06140,Advanced,24,185.66,12/22/2022
c00021,AI Course 21,AI,i00128,Advanced,42,164.14,1/31/2020
c00022,History Course 22,History,i04680,Intermediate,43,119.21,4/3/2021
c00023,History Course 23,History,i07098,Beginner,27,46.45,3/25/2021
c00024,Data Science Course 24,Data Science,i08725,Intermediate,44,116.17,3/20/2023
c00025,Math Course 25,Math,i09478,Intermediate,27,80.36,10/14/2023
c00026,Biology Course 26,Biology,i07057,Intermediate,33,86.54,4/1/2019
c00027,History Course 27,History,i01645,Beginner,37,71.1,6/3/2021
c00028,History Course 28,History,i00327,Advanced,19,194.48,10/21/2023
c00029,Design Course 29,Design,i03682,Advanced,8,161.58,7/11/2022
c00030,Business Course 30,Business,i09685,Intermediate,39,100.01,4/6/2021
c00031,Music Course 31,Music,i03954,Beginner,24,58.59,3/21/2022
c00032,Data Science Course 32,Data Science,i01297,Advanced,54,141.04,11/11/2022
c00033,Data Science Course 33,Data Science,i02857,Intermediate,22,76.46,6/17/2021
c00034,Music Course 34,Music,i06131,Beginner,14,44.68,3/12/2020
c00035,Business Course 35,Business,i05329,Beginner,45,45.47,10/9/2023
c00036,History Course 36,History,i08226,Beginner,46,72.92,9/12/2021
c00037,History Course 37,History,i07264,Beginner,10,51.24,8/29/2021
c00038,Biology Course 38,Biology,i06850,Intermediate,47,94.06,9/22/2018
c00039,Music Course 39,Music,i07784,Advanced,11,112.78,12/17/2022
c00040,Math Course 40,Math,i08610,Beginner,36,39.13,3/24/2020
c00041,Biology Course 41,Biology,i04775,Beginner,48,26.01,12/9/2022
c00042,Programming Course 42,Programming,i07070,Beginner,44,77.17,11/24/2023
c00043,AI Course 43,AI,i02060,Intermediate,43,118.47,2/23/2023
c00044,Math Course 44,Math,i08913,Advanced,14,148.17,8/13/2022
c00045,Design Course 45,Design,i06074,Beginner,17,20.76,1/19/2022
c00046,Physics Course 46,Physics,i04465,Intermediate,38,107.57,5/4/2021
c00047,Programming Course 47,Programming,i02524,Intermediate,10,81.84,12/25/2023
c00048,AI Course 48,AI,i05350,Advanced,34,145.4,11/20/2023
c00049,Biology Course 49,Biology,i03936,Intermediate,11,79.39,2/17/2021
c00050,Math Course 50,Math,i09689,Beginner,42,76.2,12/7/2021
c00051,Business Course 51,Business,i05123,Beginner,6,74.31,4/9/2023
c00052,Biology Course 52,Biology,i00840,Advanced,20,190.4,4/5/2021
c00053,Data Science Course 53,Data Science,i07647,Beginner,42,51.39,3/15/2023
c00054,AI Course 54,AI,i08444,Intermediate,8,116.14,12/14/2022
c00055,Biology Course 55,Biology,i08115,Advanced,31,115.93,1/1/2022
c00056,AI Course 56,AI,i07960,Intermediate,22,106.54,11/30/2020
c00057,Music Course 57,Music,i06796,Intermediate,28,102.26,3/18/2022
c00058,AI Course 58,AI,i09181,Beginner,43,34.87,3/21/2023
c00059,Math Course 59,Math,i03652,Intermediate,47,84.76,6/26/2022
c00060,Programming Course 60,Programming,i00933,Beginner,37,70.34,3/30/2023
c00061,Business Course 61,Business,i01477,Advanced,25,123.64,4/30/2022
c00062,AI Course 62,AI,i00801,Advanced,8,189.68,11/18/2022
c00063,Data Science Course 63,Data Science,i06208,Beginner,19,40.31,9/23/2021
c00064,AI Course 64,AI,i01783,Intermediate,14,70.11,3/17/2020
c00065,Data Science Course 65,Data Science,i03806,Beginner,5,57.07,9/25/2021
c00066,Design Course 66,Design,i06891,Beginner,50,37.41,3/5/2023
c00067,Biology Course 67,Biology,i05656,Intermediate,17,81.5,9/19/2022
c00068,Programming Course 68,Programming,i01239,Intermediate,29,113.73,2/15/2023
c00069,Physics Course 69,Physics,i00021,Beginner,7,43.35,8/2/2020
c00070,Music Course 70,Music,i08251,Beginner,51,39.31,11/9/2021
c00071,AI Course 71,AI,i02271,Advanced,8,176.93,7/5/2019
c00072,History Course 72,History,i01143,Beginner,49,62.23,11/23/2023
c00073,Data Science Course 73,Data Science,i03305,Advanced,34,137.01,3/11/2021
c00074,Music Course 74,Music,i08023,Advanced,38,164.9,2/5/2022
c00075,History Course 75,History,i02889,Intermediate,54,78.57,3/17/2023
c00076,Math Course 76,Math,i08223,Beginner,25,42.35,4/24/2021
c00077,Programming Course 77,Programming,i02972,Intermediate,27,114.77,10/28/2020
c00078,Business Course 78,Business,i08940,Beginner,19,45.87,4/30/2023
c00079,Math Course 79,Math,i01342,Beginner,41,75.55,12/14/2021
c00080,History Course 80,History,i00681,Beginner,26,59.61,4/14/2022
c00081,Programming Course 81,Programming,i09758,Advanced,9,100.46,1/17/2023
c00082,Business Course 82,Business,i00499,Advanced,36,154.66,7/12/2023
c00083,Data Science Course 83,Data Science,i06187,Beginner,31,32.98,4/12/2023
c00084,AI Course 84,AI,i02387,Beginner,27,71.77,6/23/2021
c00085,Data Science Course 85,Data Science,i09514,Beginner,44,64.82,6/28/2022
c00086,Business Course 86,Business,i09396,Beginner,48,29.58,8/26/2023
c00087,Music Course 87,Music,i05523,Beginner,44,21.31,1/8/2020
c00088,Math Course 88,Math,i08962,Intermediate,39,111.25,4/13/2021
c00089,Math Course 89,Math,i09806,Intermediate,15,113.76,7/28/2023
c00090,Math Course 90,Math,i08835,Beginner,9,28.95,2/12/2022
c00091,Biology Course 91,Biology,i02178,Beginner,53,59.45,9/28/2021
c00092,AI Course 92,AI,i09429,Beginner,36,65.99,12/2/2021
c00093,Biology Course 93,Biology,i08945,Advanced,8,175.56,7/17/2021
c00094,Physics Course 94,Physics,i05803,Intermediate,21,67,4/1/2021
c00095,Music Course 95,Music,i05802,Intermediate,36,65.61,7/31/2021
c00096,Data Science Course 96,Data Science,i02203,Advanced,49,131.94,9/22/2019
c00097,Physics Course 97,Physics,i04978,Beginner,21,72.44,3/25/2020
c00098,Programming Course 98,Programming,i07185,Advanced,7,100.07,6/7/2022
c00099,Programming Course 99,Programming,i09448,Beginner,9,53.21,8/20/2022
c00100,Music Course 100,Music,i01060,Advanced,34,106.08,5/5/2023
c00101,Data Science Course 101,Data Science,i06462,Advanced,6,178,11/13/2022
c00102,Design Course 102,Design,i09609,Beginner,43,68.43,10/28/2021
c00103,Physics Course 103,Physics,i01065,Intermediate,42,57.65,3/20/2023
c00104,History Course 104,History,i04258,Intermediate,13,78.93,6/20/2019
c00105,Programming Course 105,Programming,i02751,Advanced,8,172.22,4/26/2022
c00106,Data Science Course 106,Data Science,i06490,Intermediate,52,88.51,4/28/2023
c00107,History Course 107,History,i09512,Advanced,22,138.59,8/24/2023
c00108,Physics Course 108,Physics,i07966,Beginner,53,50.9,5/3/2021
c00109,Biology Course 109,Biology,i06023,Intermediate,38,120.19,7/27/2020
c00110,Biology Course 110,Biology,i06326,Intermediate,15,53.54,1/15/2020
c00111,Physics Course 111,Physics,i09573,Advanced,10,137.65,1/7/2020
c00112,History Course 112,History,i04571,Beginner,16,33.72,11/20/2021
c00113,Biology Course 113,Biology,i00721,Advanced,40,199.39,8/1/2022
c00114,Music Course 114,Music,i03905,Beginner,47,39.67,9/14/2019
c00115,Data Science Course 115,Data Science,i05004,Advanced,8,167.14,4/22/2021
c00116,Business Course 116,Business,i09031,Advanced,8,181.85,3/17/2020
c00117,Biology Course 117,Biology,i04932,Advanced,36,113.64,9/6/2021
c00118,Biology Course 118,Biology,i07044,Advanced,10,135.44,2/24/2022
c00119,Math Course 119,Math,i06251,Beginner,31,59.72,3/10/2023
c00120,History Course 120,History,i06104,Advanced,16,173.23,4/3/2022
c00121,History Course 121,History,i04950,Beginner,16,41.93,4/7/2022
c00122,Biology Course 122,Biology,i07340,Advanced,32,175.26,7/24/2019
c00123,History Course 123,History,i02161,Beginner,47,69.03,7/31/2021
c00124,Math Course 124,Math,i08982,Intermediate,47,129.69,6/29/2021
c00125,Math Course 125,Math,i03587,Intermediate,9,99.77,9/9/2022
c00126,Design Course 126,Design,i07470,Intermediate,21,79.67,3/28/2022
c00127,Programming Course 127,Programming,i09366,Intermediate,22,58.23,12/29/2023
c00128,History Course 128,History,i09188,Beginner,16,23.15,1/23/2023
c00129,Math Course 129,Math,i07668,Advanced,9,129.01,4/8/2022
c00130,Design Course 130,Design,i02614,Advanced,38,107.85,10/27/2021
c00131,Music Course 131,Music,i00408,Beginner,38,24.61,8/18/2022
c00132,Design Course 132,Design,i00825,Intermediate,38,82.74,2/1/2022
c00133,Business Course 133,Business,i09396,Beginner,6,20.5,10/7/2022
c00134,Music Course 134,Music,i04066,Beginner,50,39.53,9/23/2023
