enrollment_id,student_id,course_id,enrollment_date,status,progress_percent
E000001,S010871,C040949,2024-12-19,Dropped,68
E000002,S034769,C041170,2024-12-27,Active,35
E000003,S028387,C015206,2024-09-24,Completed,92
E000004,S042553,C040374,2024-12-09,Dropped,17
E000005,S038047,C015540,2024-12-30,Dropped,81
E000006,S040695,C018208,2024-08-15,Active,88
E000007,S018946,C020763,2024-07-06,Active,100
E000008,S034658,C012488,2024-12-15,Dropped,36
E000009,S015773,C013217,2024-12-11,Dropped,86
E000010,S009954,C035456,2024-10-09,Completed,53
E000011,S018597,C016177,2023-11-01,Completed,46
E000012,S012193,C020711,2024-06-13,Active,11
E000013,S006277,C017819,2024-12-23,Completed,47
E000014,S004776,C025956,2024-10-29,Dropped,80
E000015,S027338,C033972,2024-12-22,Dropped,96
E000016,S004003,C043639,2024-07-23,Completed,99
E000017,S006836,C019827,2024-10-17,Completed,12
E000018,S024546,C013016,2024-11-27,Active,71
E000019,S003004,C041839,2024-12-19,Completed,91
E000020,S020545,C015266,2024-12-17,Completed,28
E000021,S034273,C036895,2024-07-24,Dropped,15
E000022,S005479,C005928,2024-09-15,Active,48
E000023,S038799,C045756,2023-10-26,Completed,80
E000024,S043815,C033281,2024-07-07,Dropped,82
E000025,S036343,C022422,2024-12-23,Completed,72
E000026,S006940,C040203,2024-12-10,Active,79
E000027,S015174,C027740,2024-01-01,Active,92
E000028,S015279,C004289,2024-10-16,Active,36
E000029,S036375,C042698,2024-10-14,Completed,94
E000030,S041917,C036417,2024-07-13,Dropped,98
E000031,S018977,C030648,2024-11-27,Dropped,71
E000032,S020140,C006545,2024-12-09,Completed,41
E000033,S016013,C008714,2024-06-03,Active,71
E000034,S029227,C019051,2024-12-10,Completed,82
E000035,S025455,C040155,2024-12-28,Completed,80
E000036,S016369,C031498,2024-06-25,Active,46
E000037,S000449,C017864,2023-08-12,Completed,76
E000038,S002133,C011210,2023-01-22,Completed,93
E000039,S001554,C047256,2023-06-21,Active,33
E000040,S003270,C037747,2024-07-21,Dropped,27
E000041,S041558,C018336,2024-12-28,Dropped,22
E000042,S010242,C020161,2024-02-22,Active,6
E000043,S021513,C014149,2024-12-08,Active,51
E000044,S024030,C022273,2024-11-15,Dropped,88
E000045,S003706,C002092,2024-10-10,Active,53
E000046,S039036,C037833,2024-09-10,Dropped,12
E000047,S049917,C039668,2024-11-10,Active,60
E000048,S036303,C030344,2024-10-30,Completed,14
E000049,S030294,C030305,2022-05-25,Dropped,17
E000050,S020752,C022101,2024-12-08,Dropped,4
E000051,S046527,C026672,2023-09-27,Completed,73
E000052,S003127,C011517,2024-11-10,Completed,61
E000053,S027053,C044646,2024-08-19,Dropped,27
E000054,S031110,C014301,2024-12-10,Completed,90
E000055,S029385,C000669,2024-04-16,Active,34
E000056,S026874,C024156,2024-11-04,Completed,47
E000057,S018655,C008201,2024-12-13,Active,23
E000058,S040844,C037683,2024-12-22,Completed,61
E000059,S036500,C023670,2023-09-29,Completed,51
E000060,S012019,C005250,2024-12-24,Dropped,89
E000061,S010614,C019295,2024-07-22,Completed,70
E000062,S011463,C010349,2024-06-28,Active,36
E000063,S021367,C041756,2024-12-29,Completed,22
E000064,S017656,C024777,2024-12-26,Active,82
E000065,S036575,C025905,2024-12-13,Dropped,74
E000066,S041076,C033566,2022-12-29,Active,1
E000067,S044424,C045772,2024-12-28,Active,40
E000068,S015311,C005040,2024-04-20,Active,2
E000069,S039137,C007278,2024-10-26,Dropped,51
E000070,S004538,C046100,2024-12-09,Active,81
E000071,S009319,C005560,2024-12-27,Dropped,90
E000072,S016709,C044910,2024-11-15,Completed,100
E000073,S032677,C017982,2024-12-13,Completed,33
E000074,S041687,C016322,2024-10-06,Completed,53
E000075,S010527,C010641,2024-04-18,Dropped,82
E000076,S046045,C017317,2024-09-25,Completed,17
E000077,S005768,C025221,2024-07-16,Active,0
E000078,S021899,C048699,2024-12-20,Active,53
E000079,S017132,C021853,2024-10-20,Completed,55
E000080,S020038,C048940,2024-12-01,Active,31
E000081,S039324,C016846,2024-12-27,Active,81
E000082,S047088,C013093,2024-12-01,Active,95
E000083,S048435,C033690,2024-06-26,Dropped,57
E000084,S034944,C007715,2024-12-20,Dropped,100
E000085,S021267,C046437,2024-09-28,Active,31
E000086,S026361,C027984,2024-05-08,Completed,94
E000087,S013648,C033492,2024-10-24,Completed,72
E000088,S012970,C011381,2023-11-14,Dropped,76
E000089,S037872,C014785,2024-11-02,Completed,16
E000090,S006372,C019614,2023-09-23,Dropped,76
E000091,S023788,C043696,2022-09-24,Dropped,29
E000092,S004534,C007368,2024-11-05,Active,85
E000093,S043116,C016163,2024-11-05,Active,15
E000094,S008342,C007209,2023-12-07,Dropped,92
